No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Layout,Use Bootstrap Grid System,12-column responsive grid with container row col classes,Use container row col-* classes,Custom flexbox or float layouts,"<div class=""container""><div class=""row""><div class=""col-md-6"">Content</div></div></div>","<div style=""display: flex"">Custom layout</div>",High,https://getbootstrap.com/docs/5.3/layout/grid/
2,Layout,Use responsive containers,Responsive containers adapt to breakpoints,container container-fluid container-{breakpoint},Fixed width without responsiveness,<div class="container-lg">,<div style="width: 1200px">,Medium,https://getbootstrap.com/docs/5.3/layout/containers/
3,Layout,Use breakpoint classes,Responsive classes for different screen sizes,col-sm-* col-md-* col-lg-* col-xl-*,Same layout all screen sizes,<div class="col-md-6 col-lg-4">,<div class="col-12">,High,https://getbootstrap.com/docs/5.3/layout/breakpoints/
4,Layout,Use gap utilities,Use gap-* for grid/flex spacing,gap-2 gap-3 gap-4,Margin on individual items,<div class="row gap-3">,<div class="row"><div class="col mb-3">,Medium,https://getbootstrap.com/docs/5.3/utilities/spacing/
5,Components,Use Bootstrap buttons,Built-in button styles and variants,btn btn-primary btn-outline-*,Custom button classes,"<button class=""btn btn-primary"">Click</button>","<button class=""custom-btn"">Click</button>",Medium,https://getbootstrap.com/docs/5.3/components/buttons/
6,Components,Use button groups,Group related buttons together,btn-group btn-toolbar,Individual buttons with custom spacing,"<div class=""btn-group""><button class=""btn btn-primary"">1</button></div>",<button class="btn mr-2">1</button>,Low,https://getbootstrap.com/docs/5.3/components/button-group/
7,Components,Use cards for content,Card component for flexible content containers,card card-body card-header card-footer,Custom div containers,"<div class=""card""><div class=""card-body"">Content</div></div>","<div class=""content-box"">Content</div>",Medium,https://getbootstrap.com/docs/5.3/components/card/
8,Components,Use modals for dialogs,Bootstrap modal for overlays,modal modal-dialog data-bs-toggle,Custom overlay implementations,"<div class=""modal"" tabindex=""-1""><div class=""modal-dialog"">",<div class="custom-popup">,High,https://getbootstrap.com/docs/5.3/components/modal/
9,Components,Use navbar component,Built-in responsive navigation,navbar navbar-expand-* navbar-light,Custom header with media queries,"<nav class=""navbar navbar-expand-lg""><div class=""container-fluid"">","<div class=""header""><ul class=""nav"">",Medium,https://getbootstrap.com/docs/5.3/components/navbar/
10,Components,Use form controls,Bootstrap form classes for inputs,form-control form-select form-check,Unstyled form elements,"<input class=""form-control"" type=""text"">","<input type=""text"">",Medium,https://getbootstrap.com/docs/5.3/forms/form-control/
11,Components,Use input groups,Combine inputs with text/buttons,input-group input-group-text,Separate elements with custom positioning,"<div class=""input-group""><span class=""input-group-text"">@</span><input class=""form-control""></div>",<span>@</span><input>,Low,https://getbootstrap.com/docs/5.3/forms/input-group/
